player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
BYE;0,0;0,0;95;;;;128;128;128;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;32;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;40;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;41;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;54;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;60;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;61;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
